"TIMESTAMP", "OPEN", "CLOSE", "HIGH", "LOW", "VOLUME", "QUOTE_VOLUME", "CURRENCY_PAIR"
"1508371200","3812.00422456","5779.99999999","6659.99999999","3806.38167633","23.78095054","133452.39367371","BTC-USDT"
"1508976000","5779.99999999","6874.8","6874.8","5286.00001","79.45886854","482772.61456434","BTC-USDT"
"1510185600","7100","6999.999999","7450","5005","114.7753954","751551.3788406","BTC-USDT"
"1510790400","6999.999999","8287.499995","8599","6549.000001","68.16806612","517779.99605007","BTC-USDT"
"1511395200","8287.5","9700","10000","7835.388408","101.64389981","912369.69814043","BTC-USDT"
"1512000000","9999.999999","13662.5","13875","9010","65.37391788","728046.45783687","BTC-USDT"
"1512604800","13662.5","15420.990901","17999.999998","11848.88","67.05319216","1032060.92952633","BTC-USDT"
"1513209600","15420.990901","15901.00002","19722","13200","73.15236872","1294431.90773697","BTC-USDT"
"1513814400","16000.000003","15898.989989","17200","11500.000001","85.03079394","1193146.88622811","BTC-USDT"
"1514419200","15900","15380.011104","15980","11249.999999","305.89217744","4171977.39184269","BTC-USDT"
"1515024000","15131.011108","14680.000001","17390","12001","1165.13477126","17338649.73912678","BTC-USDT"
"1515628800","14685.000001","10910.910914","14998.271076","8600","3017.06296557","35782157.41781194","BTC-USDT"
"1516233600","10910.910914","11399.99","13100","9841.359062","2688.15756595","30110908.0220343","BTC-USDT"
"1516838400","11399.578999","10233","12400","9775","2064.01348317","22686563.60022212","BTC-USDT"
"1517443200","10233","7572.421893","10449.888887","5950","4318.87113144","34118595.05333562","BTC-USDT"
"1518048000","7546","9469","9495.998579","7512.001722","3012.61884655","25426038.06779401","BTC-USDT"
"1518652800","9469","10411.634778","11799.999998","9301","1991.14834439","20947458.95808609","BTC-USDT"
"1519257600","10411.634043","10299.999999","11110","9300","1959.10324697","19802567.66834796","BTC-USDT"
"1519862400","10299.999999","9850.001445","11745.007056","9345","1347.66213365","14543613.68848824","BTC-USDT"
"1520467200","9850.00145","8204.083065","10095.272645","7910","2256.86603982","20335706.63359978","BTC-USDT"
"1521072000","8177.863995","8909.970172","9181","7302","2048.50943511","16848232.60017975","BTC-USDT"
"1521676800","8905","7935","9091.689571","7705","1888.20734419","15789771.1111237","BTC-USDT"
"1522281600","7935","6770","7970","6412.000001","2064.23072955","14576632.53955443","BTC-USDT"
"1522886400","6797.467799","6965.178929","7199","6510","1045.73309742","7140080.06384682","BTC-USDT"
"1523491200","6965.178929","8160","8414.999407","6752.906434","1601.35835157","12672602.88815462","BTC-USDT"
"1524096000","8164.999999","8834.88","9717.999999","8109.23","2494.28145856","22230664.3415635","BTC-USDT"
"1524700800","8834.88","9291.133","9595","8638.000001","1736.53969841","15872506.86272171","BTC-USDT"
"1525305600","9240.000684","9340.323104","10000","8950","1727.3208135","16403487.0222142","BTC-USDT"
"1525910400","9340.323104","8334","9480","8095.570631","2454.44103788","21141858.1620809","BTC-USDT"
"1526515200","8346.419519","7494.785","8590.275105","7410","1448.46319413","11749450.46299235","BTC-USDT"
"1527120000","7494.785","7380.000001","7779.610708","7000","1429.29943661","10556115.9762755","BTC-USDT"
"1527724800","7380.000001","7662.221","7795.4406","7327.374155","1080.75134018","8168722.21555588","BTC-USDT"
