"TIMESTAMP", "OPEN", "CLOSE", "HIGH", "LOW", "VOLUME", "QUOTE_VOLUME", "CURRENCY_PAIR"
"1508371200","3812.00422456","4310.43771375","5548.23140944","3806.38167633","0.27920663","1148.55202575","BTC-USDT"
"1508392800","4860.51254457","5093.210517","5693.2105144","3808","1.16385325","6115.72275547","BTC-USDT"
"1508414400","5094.1493288","5408.34999989","5693","5093.21053482","0.69419221","3727.13356839","BTC-USDT"
"1508436000","5408.34999988","5137.92726916","5692.99420419","5093.25000001","0.68744092","3709.43375853","BTC-USDT"
"1508457600","5137.92726916","5691.99999996","5693.2105144","5137.92726916","0.60081495","3381.71548694","BTC-USDT"
"1508479200","5409","5691.99999972","5691.99999996","5409","0.67429367","3836.95003736","BTC-USDT"
"1508500800","5409.00000001","5698.29743882","5998.20783052","5409.00000001","1.51987081","8656.47630899","BTC-USDT"
"1508522400","5691.99999971","5698.29743879","5998.20783053","5691.99999971","0.66019228","3781.54397873","BTC-USDT"
"1508544000","5698.29743879","6010.64999993","6659.99999998","5691.99999971","0.37531957","2218.54903268","BTC-USDT"
"1508630400","5985.00000005","6659.99999998","6659.99999999","5780.26699112","0.32081382","2014.76266293","BTC-USDT"
"1508673600","5691.99999972","6229.65000011","6500","5691.99999972","0.57526907","3486.29412172","BTC-USDT"
"1508695200","6229.65000012","6500","6500","5933.00000001","0.41856379","2525.69172815","BTC-USDT"
"1508716800","6229.65000043","5933.00000003","6500","5933.00000001","0.66393062","4101.29691673","BTC-USDT"
"1508738400","6429.99999999","6197.99999999","6429.99999999","5691.99999973","0.7586178","4597.14167326","BTC-USDT"
"1508760000","6184.74424727","5691.99999972","6184.74424727","5691.99999971","0.68749065","4070.31629895","BTC-USDT"
"1508781600","6149.99999999","6149.99999999","6149.99999999","5691.99999972","0.69960539","4189.58575299","BTC-USDT"
"1508803200","6149.99999999","5887.56729999","6149.99999999","5691.99999971","0.68104064","4031.08381868","BTC-USDT"
"1508824800","5693.23000001","5749.99999999","5887.56729999","5347.73719869","0.78829511","4457.18276969","BTC-USDT"
